,id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team,season,home_team_win,away_team_win,home_team_draw,away_team_draw,total_win,total_draw,overall_win_perc
106,1384,2015-09-10 00:00:00,62,Balanced,Little,51,Mixed,Organised,53,Normal,50,Normal,60,Normal,Organised,41,Medium,40,Press,49,Normal,Cover,West Bromwich Albion,2014/2015,7,4,4,7,11,11,0.2894736842105263
107,1385,2010-02-22 00:00:00,58,Balanced,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover,West Ham United,2009/2010,7,1,5,6,8,11,0.23026315789473684
108,1386,2011-02-22 00:00:00,35,Balanced,Little,35,Mixed,Organised,30,Safe,45,Normal,45,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,West Ham United,2010/2011,5,2,5,7,7,12,0.21710526315789475
109,1388,2013-09-20 00:00:00,72,Fast,Little,73,Long,Organised,61,Normal,74,Lots,32,Little,Organised,30,Deep,37,Press,41,Normal,Cover,West Ham United,2012/2013,9,3,6,4,12,10,0.3026315789473684
110,1389,2014-09-19 00:00:00,72,Fast,Normal,73,Long,Organised,68,Risky,71,Lots,32,Little,Organised,30,Deep,34,Press,41,Normal,Cover,West Ham United,2013/2014,7,4,3,4,11,7,0.2631578947368421
111,1390,2015-09-10 00:00:00,77,Fast,Normal,57,Mixed,Organised,68,Risky,73,Lots,29,Little,Organised,30,Deep,37,Press,41,Normal,Cover,West Ham United,2014/2015,9,3,4,7,12,11,0.3092105263157895
112,1399,2010-02-22 00:00:00,70,Fast,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,35,Medium,70,Double,35,Normal,Cover,Wigan Athletic,2009/2010,6,3,7,2,9,9,0.23684210526315788
113,1400,2011-02-22 00:00:00,35,Balanced,Little,50,Mixed,Organised,45,Normal,65,Normal,50,Normal,Organised,45,Medium,55,Press,65,Normal,Cover,Wigan Athletic,2010/2011,5,4,8,7,9,15,0.27631578947368424
114,1401,2012-02-22 00:00:00,38,Balanced,Little,38,Mixed,Organised,54,Normal,42,Normal,42,Normal,Organised,40,Medium,42,Press,44,Normal,Cover,Wigan Athletic,2011/2012,5,6,7,3,11,10,0.28289473684210525
115,1402,2013-09-20 00:00:00,38,Balanced,Little,39,Mixed,Organised,43,Normal,42,Normal,34,Normal,Free Form,56,Medium,52,Press,44,Normal,Cover,Wigan Athletic,2012/2013,4,5,6,3,9,9,0.23684210526315788
